Estas personas no formaron parejas por ser menores de 10 años
ELIAS ROJAS, 9, M, A, SAN PABLO
MARINA HERRERA, 71, F, M, CENTRAL
MARIA LIDIA HERRERA, 65, F, M, CENTRAL
FLORA MENDEZ, 46, F, M, CENTRAL
OLGA ROMILIA VARGAS, 20, F, M, CENTRAL
MARIA CRISTINA FALLAS, 40, F, M, CENTRAL
ADA MARIA HIDALGO, 77, F, M, CENTRAL
GRACE ARIAS, 37, F, M, CENTRAL
MARIA DEIDAMIA ACUï¿½A, 46, F, M, CENTRAL
CONSUELO JIMENEZ, 41, F, M, CENTRAL
ALICIA ALBERTAZZI, 53, F, M, CENTRAL
MARIA JOSEFA CASTILLO, 83, F, M, CENTRAL
ALICIA AGUERO, 41, F, M, CENTRAL
BLANCA MARIA MATARRITA, 85, F, M, CENTRAL
DINORAH JIMENEZ, 75, F, M, CENTRAL
ALICE DIAZ, 23, F, M, CENTRAL
ERMELINDA CASCANTE, 68, F, M, CENTRAL
MARIA EUGENIA OBANDO, 76, F, M, CENTRAL
FLORA JIMENEZ, 25, F, M, CENTRAL
MARIA ROSARIO HERNANDEZ, 75, F, M, CENTRAL
IRIS FUENTES, 70, F, M, CENTRAL
GLORIELA SOTO, 54, F, M, CENTRAL
MARIA BADILLA, 28, F, M, CENTRAL
JOVITA BADILLA, 19, F, M, CENTRAL
OLGA ESCALANTE, 55, F, M, CENTRAL
MARIA DEL ROSARIO CALVO, 20, F, M, CENTRAL
HORTENSIA CASCANTE, 47, F, M, CENTRAL
SOCORRO SANDI, 46, F, M, CENTRAL
MARIA DEL CARMEN GONZALEZ, 81, F, M, CENTRAL
YOLANDA HERNANDEZ, 73, F, M, CENTRAL
LUCILA MORGAN, 44, F, M, CENTRAL
LILIAN CALDERON, 69, F, M, CENTRAL
COLOMBA SEGURA, 79, F, M, CENTRAL
ELOISA SEGURA, 85, F, M, CENTRAL
CLARA CORDERO, 44, F, M, CENTRAL
HAYDEE MORA, 82, F, M, CENTRAL
NELLY VALVERDE, 57, F, M, CENTRAL
SOCORRO RIOS, 49, F, M, CENTRAL
MARIA LUISA SANCHO, 63, F, M, CENTRAL
RITA HERNANDEZ, 18, F, M, CENTRAL
JACINTA CLARA CORRALES, 28, F, M, CENTRAL
BRUNILDA ZUï¿½IGA, 71, F, M, CENTRAL
MARIA ELENA AMADOR, 64, F, M, CENTRAL
DAISY RAMIREZ, 21, F, M, CENTRAL
NOEMY CHAVARRIA, 38, F, M, CENTRAL
MARIA LUISA SOLANO, 45, F, M, CENTRAL
NELLY CASTRO, 51, F, M, CENTRAL
ANGELA CORDERO, 23, F, M, CENTRAL
AURORA MORA, 50, F, M, CENTRAL
AURORA FERNANDEZ, 29, F, M, CENTRAL
MARTA CRUZ, 82, F, M, CENTRAL
MARIA EUGENIA SANCHO, 38, F, M, CENTRAL
RUTH EVANGELINA ZUï¿½IGA, 38, F, M, CENTRAL
RUFINA MORA, 44, F, M, CENTRAL
MARINA HERRERA, 71, F, M, CENTRAL
MARIA LIDIA HERRERA, 65, F, M, CENTRAL
FLORA MENDEZ, 46, F, M, CENTRAL
OLGA ROMILIA VARGAS, 20, F, M, CENTRAL
MARIA CRISTINA FALLAS, 40, F, M, CENTRAL
ADA MARIA HIDALGO, 77, F, M, CENTRAL
GRACE ARIAS, 37, F, M, CENTRAL
MARIA DEIDAMIA ACUï¿½A, 46, F, M, CENTRAL
CONSUELO JIMENEZ, 41, F, M, CENTRAL
ALICIA ALBERTAZZI, 53, F, M, CENTRAL
MARIA JOSEFA CASTILLO, 83, F, M, CENTRAL
ALICIA AGUERO, 41, F, M, CENTRAL
BLANCA MARIA MATARRITA, 85, F, M, CENTRAL
DINORAH JIMENEZ, 75, F, M, CENTRAL
ALICE DIAZ, 23, F, M, CENTRAL
ERMELINDA CASCANTE, 68, F, M, CENTRAL
MARIA EUGENIA OBANDO, 76, F, M, CENTRAL
FLORA JIMENEZ, 25, F, M, CENTRAL
MARIA ROSARIO HERNANDEZ, 75, F, M, CENTRAL
IRIS FUENTES, 70, F, M, CENTRAL
GLORIELA SOTO, 54, F, M, CENTRAL
MARIA BADILLA, 28, F, M, CENTRAL
JOVITA BADILLA, 19, F, M, CENTRAL
OLGA ESCALANTE, 55, F, M, CENTRAL
MARIA DEL ROSARIO CALVO, 20, F, M, CENTRAL
HORTENSIA CASCANTE, 47, F, M, CENTRAL
SOCORRO SANDI, 46, F, M, CENTRAL
MARIA DEL CARMEN GONZALEZ, 81, F, M, CENTRAL
YOLANDA HERNANDEZ, 73, F, M, CENTRAL
LUCILA MORGAN, 44, F, M, CENTRAL
LILIAN CALDERON, 69, F, M, CENTRAL
COLOMBA SEGURA, 79, F, M, CENTRAL
ELOISA SEGURA, 85, F, M, CENTRAL
CLARA CORDERO, 44, F, M, CENTRAL
HAYDEE MORA, 82, F, M, CENTRAL
NELLY VALVERDE, 57, F, M, CENTRAL
SOCORRO RIOS, 49, F, M, CENTRAL
MARIA LUISA SANCHO, 63, F, M, CENTRAL
RITA HERNANDEZ, 18, F, M, CENTRAL
JACINTA CLARA CORRALES, 28, F, M, CENTRAL
BRUNILDA ZUï¿½IGA, 71, F, M, CENTRAL
MARIA ELENA AMADOR, 64, F, M, CENTRAL
DAISY RAMIREZ, 21, F, M, CENTRAL
NOEMY CHAVARRIA, 38, F, M, CENTRAL
MARIA LUISA SOLANO, 45, F, M, CENTRAL
NELLY CASTRO, 51, F, M, CENTRAL
ANGELA CORDERO, 23, F, M, CENTRAL
AURORA MORA, 50, F, M, CENTRAL
AURORA FERNANDEZ, 29, F, M, CENTRAL
MARTA CRUZ, 82, F, M, CENTRAL
MARIA EUGENIA SANCHO, 38, F, M, CENTRAL
RUTH EVANGELINA ZUï¿½IGA, 38, F, M, CENTRAL
RUFINA MORA, 44, F, M, CENTRAL
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
JUANA MORA, 30, F, M, CURRIDABAT
CARMELINA DIAZ, 66, F, M, CURRIDABAT
JULIETA GARCIA, 22, F, M, CURRIDABAT
CARMEN GALARZA, 42, F, M, CURRIDABAT
INES BARBOZA, 46, F, M, CURRIDABAT
IRIS SUBIROS, 87, F, M, CURRIDABAT
RAFAELA MARIA CHAVARRIA, 81, F, M, CURRIDABAT
MARIA ROSA QUIROS, 72, F, M, CURRIDABAT
CARMEN HERNANDEZ, 50, F, M, CURRIDABAT
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
DORA BARBOZA, 12, F, M, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
NEFTALI FALLAS, 15, M, F, DESAMPARADOS
SARA ORDEï¿½ANA, 63, F, M, DESAMPARADOS
NELLY PORRAS, 56, F, M, DESAMPARADOS
DAISY VARGAS, 54, F, M, DESAMPARADOS
AIDA FONSECA, 86, F, M, DESAMPARADOS
ZORAIDA CHACON, 38, F, M, DESAMPARADOS
DELFINA SEGURA, 89, F, M, DESAMPARADOS
ALICE VILLALOBOS, 73, F, M, DESAMPARADOS
MELITINA ABARCA, 66, F, M, DESAMPARADOS
PILAR FERNANDEZ, 29, F, M, DESAMPARADOS
GERTRUDIS SOLANO, 55, F, M, DESAMPARADOS
BLANCA AGUERO, 55, F, M, DESAMPARADOS
BLANCA ROSA RETANA, 59, F, M, DESAMPARADOS
BELARMINA ZELEDON, 69, F, M, DESAMPARADOS
SARA ORDEï¿½ANA, 63, F, M, DESAMPARADOS
NELLY PORRAS, 56, F, M, DESAMPARADOS
DAISY VARGAS, 54, F, M, DESAMPARADOS
AIDA FONSECA, 86, F, M, DESAMPARADOS
ZORAIDA CHACON, 38, F, M, DESAMPARADOS
DELFINA SEGURA, 89, F, M, DESAMPARADOS
ALICE VILLALOBOS, 73, F, M, DESAMPARADOS
MELITINA ABARCA, 66, F, M, DESAMPARADOS
PILAR FERNANDEZ, 29, F, M, DESAMPARADOS
GERTRUDIS SOLANO, 55, F, M, DESAMPARADOS
BLANCA AGUERO, 55, F, M, DESAMPARADOS
BLANCA ROSA RETANA, 59, F, M, DESAMPARADOS
BELARMINA ZELEDON, 69, F, M, DESAMPARADOS
SARA ORDEï¿½ANA, 63, F, M, DESAMPARADOS
NELLY PORRAS, 56, F, M, DESAMPARADOS
DAISY VARGAS, 54, F, M, DESAMPARADOS
AIDA FONSECA, 86, F, M, DESAMPARADOS
ZORAIDA CHACON, 38, F, M, DESAMPARADOS
DELFINA SEGURA, 89, F, M, DESAMPARADOS
ALICE VILLALOBOS, 73, F, M, DESAMPARADOS
MELITINA ABARCA, 66, F, M, DESAMPARADOS
PILAR FERNANDEZ, 29, F, M, DESAMPARADOS
GERTRUDIS SOLANO, 55, F, M, DESAMPARADOS
BLANCA AGUERO, 55, F, M, DESAMPARADOS
BLANCA ROSA RETANA, 59, F, M, DESAMPARADOS
BELARMINA ZELEDON, 69, F, M, DESAMPARADOS
SARA ORDEï¿½ANA, 63, F, M, DESAMPARADOS
NELLY PORRAS, 56, F, M, DESAMPARADOS
DAISY VARGAS, 54, F, M, DESAMPARADOS
AIDA FONSECA, 86, F, M, DESAMPARADOS
ZORAIDA CHACON, 38, F, M, DESAMPARADOS
DELFINA SEGURA, 89, F, M, DESAMPARADOS
ALICE VILLALOBOS, 73, F, M, DESAMPARADOS
MELITINA ABARCA, 66, F, M, DESAMPARADOS
PILAR FERNANDEZ, 29, F, M, DESAMPARADOS
GERTRUDIS SOLANO, 55, F, M, DESAMPARADOS
BLANCA AGUERO, 55, F, M, DESAMPARADOS
BLANCA ROSA RETANA, 59, F, M, DESAMPARADOS
BELARMINA ZELEDON, 69, F, M, DESAMPARADOS
SARA ORDEï¿½ANA, 63, F, M, DESAMPARADOS
NELLY PORRAS, 56, F, M, DESAMPARADOS
DAISY VARGAS, 54, F, M, DESAMPARADOS
AIDA FONSECA, 86, F, M, DESAMPARADOS
ZORAIDA CHACON, 38, F, M, DESAMPARADOS
DELFINA SEGURA, 89, F, M, DESAMPARADOS
ALICE VILLALOBOS, 73, F, M, DESAMPARADOS
MELITINA ABARCA, 66, F, M, DESAMPARADOS
PILAR FERNANDEZ, 29, F, M, DESAMPARADOS
GERTRUDIS SOLANO, 55, F, M, DESAMPARADOS
BLANCA AGUERO, 55, F, M, DESAMPARADOS
BLANCA ROSA RETANA, 59, F, M, DESAMPARADOS
BELARMINA ZELEDON, 69, F, M, DESAMPARADOS
SARA ORDEï¿½ANA, 63, F, M, DESAMPARADOS
NELLY PORRAS, 56, F, M, DESAMPARADOS
DAISY VARGAS, 54, F, M, DESAMPARADOS
AIDA FONSECA, 86, F, M, DESAMPARADOS
ZORAIDA CHACON, 38, F, M, DESAMPARADOS
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
MARIA MELENDEZ, 16, F, M, MONTES DE OCA
ELIDA VARGAS, 61, F, M, MONTES DE OCA
DINORAH QUESADA, 70, F, M, MONTES DE OCA
EIDA ESPELETA, 82, F, M, MONTES DE OCA
ANA ISABEL GONZALEZ, 90, F, M, MONTES DE OCA
LAUREANA CAMBRONERO, 38, F, M, MONTES DE OCA
FLOR DE MARIA MORGAN, 35, F, M, MONTES DE OCA
VIRGINIA DIAZ, 28, F, M, MONTES DE OCA
FLORY RODRIGUEZ, 67, F, M, MONTES DE OCA
ELIDA VARGAS, 61, F, M, MONTES DE OCA
DINORAH QUESADA, 70, F, M, MONTES DE OCA
EIDA ESPELETA, 82, F, M, MONTES DE OCA
ANA ISABEL GONZALEZ, 90, F, M, MONTES DE OCA
LAUREANA CAMBRONERO, 38, F, M, MONTES DE OCA
FLOR DE MARIA MORGAN, 35, F, M, MONTES DE OCA
VIRGINIA DIAZ, 28, F, M, MONTES DE OCA
FLORY RODRIGUEZ, 67, F, M, MONTES DE OCA
ELIDA VARGAS, 61, F, M, MONTES DE OCA
DINORAH QUESADA, 70, F, M, MONTES DE OCA
EIDA ESPELETA, 82, F, M, MONTES DE OCA
ANA ISABEL GONZALEZ, 90, F, M, MONTES DE OCA
LAUREANA CAMBRONERO, 38, F, M, MONTES DE OCA
FLOR DE MARIA MORGAN, 35, F, M, MONTES DE OCA
VIRGINIA DIAZ, 28, F, M, MONTES DE OCA
FLORY RODRIGUEZ, 67, F, M, MONTES DE OCA
ELIDA VARGAS, 61, F, M, MONTES DE OCA
DINORAH QUESADA, 70, F, M, MONTES DE OCA
EIDA ESPELETA, 82, F, M, MONTES DE OCA
ANA ISABEL GONZALEZ, 90, F, M, MONTES DE OCA
LAUREANA CAMBRONERO, 38, F, M, MONTES DE OCA
FLOR DE MARIA MORGAN, 35, F, M, MONTES DE OCA
VIRGINIA DIAZ, 28, F, M, MONTES DE OCA
FLORY RODRIGUEZ, 67, F, M, MONTES DE OCA
ELIDA VARGAS, 61, F, M, MONTES DE OCA
DINORAH QUESADA, 70, F, M, MONTES DE OCA
EIDA ESPELETA, 82, F, M, MONTES DE OCA
ANA ISABEL GONZALEZ, 90, F, M, MONTES DE OCA
LAUREANA CAMBRONERO, 38, F, M, MONTES DE OCA
FLOR DE MARIA MORGAN, 35, F, M, MONTES DE OCA
VIRGINIA DIAZ, 28, F, M, MONTES DE OCA
FLORY RODRIGUEZ, 67, F, M, MONTES DE OCA
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
JUAN BERMUDEZ, 12, M, F, GOLFITO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MANUEL RIVERA, 15, M, F, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
MARGARITA HIDALGO, 64, F, M, SAN PABLO
CARMEN BONILLA, 74, F, M, ESCAZU
ANTONIA SOLIS, 59, F, M, ESCAZU
CARMEN MONTOYA, 21, F, M, ESCAZU
NELLY HIDALGO, 65, F, M, ESCAZU
MARIA ISABEL BADILLA, 77, F, M, ESCAZU
CLEMENCIA AZOFEIFA, 45, F, M, ESCAZU
CARMEN AGUILAR, 86, F, M, ESCAZU
MARIA DEL ROSARIO HERRERA, 85, F, M, ESCAZU
CARMEN BONILLA, 74, F, M, ESCAZU
ANTONIA SOLIS, 59, F, M, ESCAZU
CARMEN MONTOYA, 21, F, M, ESCAZU
NELLY HIDALGO, 65, F, M, ESCAZU
MARIA ISABEL BADILLA, 77, F, M, ESCAZU
CLEMENCIA AZOFEIFA, 45, F, M, ESCAZU
CARMEN AGUILAR, 86, F, M, ESCAZU
MARIA DEL ROSARIO HERRERA, 85, F, M, ESCAZU
CARMEN BONILLA, 74, F, M, ESCAZU
ANTONIA SOLIS, 59, F, M, ESCAZU
CARMEN MONTOYA, 21, F, M, ESCAZU
NELLY HIDALGO, 65, F, M, ESCAZU
MARIA ISABEL BADILLA, 77, F, M, ESCAZU
CLEMENCIA AZOFEIFA, 45, F, M, ESCAZU
CARMEN AGUILAR, 86, F, M, ESCAZU
MARIA DEL ROSARIO HERRERA, 85, F, M, ESCAZU
CARMEN BONILLA, 74, F, M, ESCAZU
ANTONIA SOLIS, 59, F, M, ESCAZU
CARMEN MONTOYA, 21, F, M, ESCAZU
NELLY HIDALGO, 65, F, M, ESCAZU
MARIA ISABEL BADILLA, 77, F, M, ESCAZU
CLEMENCIA AZOFEIFA, 45, F, M, ESCAZU
CARMEN AGUILAR, 86, F, M, ESCAZU
MARIA DEL ROSARIO HERRERA, 85, F, M, ESCAZU
CARMEN BONILLA, 74, F, M, ESCAZU
ANTONIA SOLIS, 59, F, M, ESCAZU
CARMEN MONTOYA, 21, F, M, ESCAZU
NELLY HIDALGO, 65, F, M, ESCAZU
MARIA ISABEL BADILLA, 77, F, M, ESCAZU
CLEMENCIA AZOFEIFA, 45, F, M, ESCAZU
CARMEN AGUILAR, 86, F, M, ESCAZU
MARIA DEL ROSARIO HERRERA, 85, F, M, ESCAZU
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
NATIVIDAD ARIAS, 12, F, M, POCOCI
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
AMABLE GONZALEZ, 14, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
FLORA CORELLA, 35, F, M, TIBAS
HAYDEE LEON, 82, F, M, TIBAS
MARIA CRISTINA RODRIGUEZ, 24, F, M, TIBAS
EVANGELINA SALGADO, 43, F, M, TIBAS
CARMEN MORALES, 43, F, M, TIBAS
CARMEN CHINCHILLA, 25, F, M, TIBAS
MARIA CRISTINA QUIROS, 57, F, M, TIBAS
MARIA EUGENIA ALVARADO, 41, F, M, TIBAS
LETICIA LOAIZA, 65, F, M, TIBAS
JOSE ANTONIO MOREIRA, 60, M, F, PARRITA
SOCORRO BARQUERO, 59, M, F, PARRITA
ADAN CESPEDES, 70, M, F, PARRITA
JOSE ANTONIO MOREIRA, 60, M, F, PARRITA
SOCORRO BARQUERO, 59, M, F, PARRITA
